tau_allow,attack_requests,attack_blocked_rate,legit_stable_friction,legit_drift_friction,legit_overall_friction,A1_blocked,A2_blocked,A3_blocked,A4_blocked,A5_blocked,A6_blocked
0.05,180,0.65,0.9883,1.0,0.9888,1.0,1.0,0.3,1.0,0.3,0.3
0.1,180,0.65,0.9883,1.0,0.9888,1.0,1.0,0.3,1.0,0.3,0.3
0.15,180,0.65,0.9883,1.0,0.9888,1.0,1.0,0.3,1.0,0.3,0.3
0.2,180,0.65,0.9883,1.0,0.9888,1.0,1.0,0.3,1.0,0.3,0.3
0.25,180,0.65,0.9883,1.0,0.9888,1.0,1.0,0.3,1.0,0.3,0.3
0.3,180,0.5,0.0391,0.975,0.0756,1.0,1.0,0.0,1.0,0.0,0.0
0.35,180,0.5,0.0391,0.975,0.0756,1.0,1.0,0.0,1.0,0.0,0.0
0.4,180,0.4389,0.0391,0.975,0.0756,1.0,1.0,0.0,0.6333,0.0,0.0
0.45,180,0.4389,0.0391,0.975,0.0756,1.0,1.0,0.0,0.6333,0.0,0.0
0.5,180,0.4389,0.0391,0.975,0.0756,1.0,1.0,0.0,0.6333,0.0,0.0
0.55,180,0.4389,0.0391,0.975,0.0756,1.0,1.0,0.0,0.6333,0.0,0.0
0.6,180,0.3889,0.0391,0.975,0.0756,1.0,1.0,0.0,0.3333,0.0,0.0
0.65,180,0.3389,0.0371,0.925,0.0717,1.0,1.0,0.0,0.0333,0.0,0.0
0.7,180,0.3389,0.0371,0.925,0.0717,1.0,1.0,0.0,0.0333,0.0,0.0
0.75,180,0.3389,0.0371,0.925,0.0717,1.0,1.0,0.0,0.0333,0.0,0.0
0.8,180,0.3389,0.0371,0.925,0.0717,1.0,1.0,0.0,0.0333,0.0,0.0
0.85,180,0.3389,0.0371,0.925,0.0717,1.0,1.0,0.0,0.0333,0.0,0.0
0.9,180,0.3389,0.0,0.0,0.0,1.0,1.0,0.0,0.0333,0.0,0.0
0.95,180,0.3389,0.0,0.0,0.0,1.0,1.0,0.0,0.0333,0.0,0.0
1.0,180,0.3389,0.0,0.0,0.0,1.0,1.0,0.0,0.0333,0.0,0.0
