Config,users,n,achieved_rps,p50_ms,p95_ms,p99_ms,mean_ms
B0,5,205,8.37,11.091,22.365,33.377,12.041
B0,10,431,17.69,9.457,21.345,27.638,10.734
B0,20,869,35.22,6.726,19.825,27.991,8.864
B0,40,1759,71.48,5.299,17.293,23.629,7.539
B1,5,210,8.57,11.701,23.223,33.246,12.606
B1,10,448,18.26,9.541,21.371,29.046,10.843
B1,20,873,35.65,7.231,21.548,36.037,9.618
B1,40,1766,72.49,5.739,18.175,28.152,7.909
P,5,219,8.89,19.544,36.594,50.713,20.779
P,10,430,17.51,14.466,35.574,48.707,17.513
P,20,868,35.49,13.018,44.934,83.865,17.853
P,40,1648,68.06,15.383,47.397,510.759,27.995
