comparison,metric,n_a,n_b,estimate_a,estimate_b,effect_size,effect_value,effect_magnitude,ci_lo,ci_hi,odds_ratio
latency B1 vs B0,total latency (ms),1938,1912,6.827,7.423,Cliff's delta,0.1152,negligible,,,
latency P vs B1,total latency (ms),1912,1920,7.423,13.641,Cliff's delta,0.5804,large,,,
latency P vs B0,total latency (ms),1938,1920,6.827,13.641,Cliff's delta,0.6457,large,,,
attack success B1 vs B0,A1,30,30,1.0,0.0,risk difference (b - a),-1.0,,-1.0,-1.0,0.0003
attack success B1 vs B0,A2,30,30,1.0,0.0,risk difference (b - a),-1.0,,-1.0,-1.0,0.0003
attack success B1 vs B0,A3,30,30,1.0,1.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success B1 vs B0,A4,30,30,1.0,1.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success B1 vs B0,A5,30,30,0.0,0.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success B1 vs B0,A6,30,30,1.0,1.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success B1 vs B0,A1-A6 pooled,180,180,0.8333,0.5,risk difference (b - a),-0.3333,,-0.4244,-0.2422,0.2027
attack success P vs B1,A1,30,30,0.0,0.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success P vs B1,A2,30,30,0.0,0.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success P vs B1,A3,30,30,1.0,1.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success P vs B1,A4,30,30,1.0,0.3667,risk difference (b - a),-0.6333,,-0.8058,-0.4609,0.0097
attack success P vs B1,A5,30,30,0.0,0.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success P vs B1,A6,30,30,1.0,1.0,risk difference (b - a),0.0,,0.0,0.0,1.0
attack success P vs B1,A1-A6 pooled,180,180,0.5,0.3944,risk difference (b - a),-0.1056,,-0.2077,-0.0034,0.653
